Sales Person,Geography,Product,Amount,Units,cost per unit,Cost,Profit,profit %
Ram Mahesh,New Zealand,70% Dark Bites,"$1,624 ",114,14,"1,652",($28),-2%
Brien Boise,USA,Choco Coated Almonds,"$6,706 ",459,9,"3,970","$2,736 ",41%
Husein Augar,USA,Almond Choco,$959 ,147,12,"1,746",($787),-82%
Carla Molina,Canada,Drinking Coco,"$9,632 ",288,6,"1,863","$7,769 ",81%
Curtice Advani,UK,White Choc,"$2,100 ",414,13,"5,444","($3,344)",-159%
Ram Mahesh,USA,Peanut Butter Cubes,"$8,869 ",432,12,"5,344","$3,525 ",40%
Curtice Advani,Australia,Smooth Sliky Salty,"$2,681 ",54,6,313,"$2,368 ",88%
Brien Boise,USA,After Nines,"$5,012 ",210,10,"2,052","$2,960 ",59%
Ches Bonnell,Australia,50% Dark Bites,"$1,281 ",75,12,878,$404 ,31%
Gigi Bohling,New Zealand,50% Dark Bites,"$4,991 ",12,12,140,"$4,851 ",97%
Barr Faughny,UK,White Choc,"$1,785 ",462,13,"6,075","($4,290)",-240%
Gunar Cockshoot,New Zealand,Eclairs,"$3,983 ",144,3,448,"$3,535 ",89%
Husein Augar,Australia,Mint Chip Choco,"$2,646 ",120,9,"1,055","$1,591 ",60%
Barr Faughny,India,Milk Bars,$252 ,54,9,504,($252),-100%
Gunar Cockshoot,USA,White Choc,"$2,464 ",234,13,"3,077",($613),-25%
Gunar Cockshoot,USA,Manuka Honey Choco,"$2,114 ",66,7,473,"$1,641 ",78%
Curtice Advani,New Zealand,Smooth Sliky Salty,"$7,693 ",87,6,504,"$7,189 ",93%
Gigi Bohling,India,Orange Choco,"$15,610 ",339,11,"3,600","$12,010 ",77%
Carla Molina,India,After Nines,$336 ,144,10,"1,407","($1,071)",-319%
Barr Faughny,UK,Orange Choco,"$9,443 ",162,11,"1,720","$7,723 ",82%
Husein Augar,India,Fruit & Nut Bars,"$8,155 ",90,6,584,"$7,571 ",93%
Brien Boise,Australia,Fruit & Nut Bars,"$1,701 ",234,6,"1,519",$182 ,11%
Oby Sorrel,Australia,After Nines,"$2,205 ",141,10,"1,378",$827 ,38%
Brien Boise,New Zealand,99% Dark & Pure,"$1,771 ",204,8,"1,559",$212 ,12%
Carla Molina,USA,Raspberry Choco,"$2,114 ",186,12,"2,182",($68),-3%
Carla Molina,Canada,Milk Bars,"$10,311 ",231,9,"2,155","$8,156 ",79%
Gunar Cockshoot,UK,Mint Chip Choco,$21 ,168,9,"1,477","($1,456)",-6932%
Oby Sorrel,USA,Orange Choco,"$1,974 ",195,11,"2,071",($97),-5%
Gigi Bohling,Canada,Fruit & Nut Bars,"$6,314 ",15,6,97,"$6,217 ",98%
Oby Sorrel,New Zealand,Fruit & Nut Bars,"$4,683 ",30,6,195,"$4,488 ",96%
Carla Molina,New Zealand,85% Dark Bars,"$6,398 ",102,5,507,"$5,891 ",92%
Barr Faughny,USA,99% Dark & Pure,$553 ,15,8,115,$438 ,79%
Brien Boise,UK,70% Dark Bites,"$7,021 ",183,14,"2,652","$4,369 ",62%
Ram Mahesh,UK,After Nines,"$5,817 ",12,10,117,"$5,700 ",98%
Carla Molina,UK,50% Dark Bites,"$3,976 ",72,12,842,"$3,134 ",79%
Curtice Advani,Australia,Organic Choco Syrup,"$1,134 ",282,17,"4,718","($3,584)",-316%
Barr Faughny,UK,Caramel Stuffed Bars,"$6,027 ",144,10,"1,495","$4,532 ",75%
Curtice Advani,New Zealand,Mint Chip Choco,"$1,904 ",405,9,"3,560","($1,656)",-87%
Ches Bonnell,India,Choco Coated Almonds,"$3,262 ",75,9,649,"$2,613 ",80%
Ram Mahesh,India,Organic Choco Syrup,"$2,289 ",135,17,"2,259",$30 ,1%
Gigi Bohling,India,Organic Choco Syrup,"$6,986 ",21,17,351,"$6,635 ",95%
